Id,Label,timeset,modularity_class
492,pear amp brie bottl cabernet quotwin date tad hamiltonquot oh gawwd life flash forward im 40 75 cat,,13
493,crap need dress,,3
494,kaeeeep yeah know horribl ugh sadden,,8
495,brodh geez ur fun,,25
496,wanna punk rock band,,25
497,jyesmith that lot angst tuesday afternoon,,12
498,im glad britney isnt crazi anymor one hell show now im sad next upap cook counti,,1
499,huuug headach omg feel like crap,,13
500,anistorm sorri,,8
501,cleder sorryi root,,16
502,man took forev,,12
503,shandasaurus see,,25
504,list item ebay sell take forevermeanwhil coleman watch hill season premier without,,25
505,just got present done 23 slide done im cri week will hardest week,,24
506,just lost 160,,24
507,dont like previous skin thing start season two like went straight intro like,,8
508,houndour wish thereim pretti good scare shit peopl,,13
509,go sound vain run fav lip gloss,,13
510,stuiy never will click link scream quotim spider im spiderquot known better yucki,,13
511,time work get sick,,3
512,pratama imac came 320 indonesia state,,25
513,dammit need stop buy furnitur,,3
514,misssil half asleep turn laptop,,12
515,death peac life howev bite,,13
516,think jonathanrknight lost net sure hope,,8
517,httpisgdr8zi httpisgdr8zg test footag girlfriend hd dark one underxpos,,12
518,tough game watch tonight state final go bed also stay watch season premier hill,,25
519,seem jrubi support hpricot now two version behind,,1
520,jinxcat unlik sisteri still dont one,,8
521,frake app store piss,,24
522,log need studi,,3
523,anyon els problem access ttb cant get,,23
524,strong dislik peopl make stupid comment dont know whole stori,,8
525,emmaketurah im sorri emma swarley goldfish im sad u,,1
526,tweet alreadi gone arent miss guy tonight,,25
527,cant sleep face kinda swollen dont let allerg thing thatll get thursday school tomorrow doubt,,23
528,snickthedog izzi cat tree shell stare shes floor chase run,,13
529,offici ban godaddycom comp head hurt small print wast 10 couldv happili gone boba,,12
530,humanopium pretti much just scari,,24
531,ilovepi mine im find well hard get fit,,23
532,good morn readi 2 go want 2 go back 2 bed,,12
533,hate wait mail,,8
534,wheat bread dollar store just doesnt toast nice go tax call earli night,,24
535,kutner mean knew someth go happen someon sad lt3 hous well done im still sad,,1
536,jonathanrknight aw ok goonit,,25
537,ill cant go cinema,,23
538,fell asleep realli didnt mean christina,,8
539,kelleyrow hey rememb time use friend ugh vomit sick need sleep,,12
540,lymph node massiv rahm emanuel ball right now,,1
541,oh comput suck dont think ill abl listen xbox 360 fancast tonit,,8
542,miss play trumpet,,25
543,throat still realli sore meant go 5 day camp friday sure now,,1
544,sasii know exact feel,,13
545,work,,3
546,well bed time now 1 sigh back 6 morn week wednesday,,12
547,hert jesus camp yeah,,8
548,marybethun oh everyth happen today forgot go dress shop opera tomorrow,,23
549,turtl better mac last longer move faster,,13
550,soak pleasant,,17
551,ginay sorri hear maggi thought mum,,8
552,ewarden may email one hope feel better,,13
553,miamiiboii dead yu gettin wen im leavin,,3
554,arlenecd pleas tell that somewher close california lol,,12
555,phlaimeaux,,18
556,stupid arrang marriag ill convert can marri melov,,13
557,emilyrupp well said looser show impli,,1
558,poor sandra cantu amp cantu famili prayer go sick world live 8,,13
559,fuck omg austin alway though man lt3 love,,25
560,nicolerichi cri hard matthew die,,12
561,sad feet macbook just fell sad feet macbook just fell,,24
562,chordsi last find thing like your twitter,,13
563,lovebscott absolut,,1
564,fill curri true indian come,,12
565,im soooo cold right now,,1
566,heidimontag lol kant believ cam got beat upp sooo embarasssiiiin,,12
567,jonathanrknight good knight hun look forward ur tweet hate keep miss fun cuz time differ,,25
568,tumblr exact feel wear ďż˝tieďż˝,,13
569,daniela95616 hahaa just realiz quotimpunequot definit isnt word want dang im unclev,,24
570,watch old video danc team make miss,,25
571,wahh csi anywher dvred love money 2 though gonna watch sleep goodnight tweeterslt3,,25
572,struggl hard inventori,,23
573,ddlovato hate us pleas dont,,8
574,ballinbitch haha im ballin still got bill paaaaay,,12
575,im one day realli just want work home crap,,24
576,paulewog waiti game just episod im confus,,24
577,carlyw66 haha cri guess,,12
578,dont get statist bunch mumbo jumbo,,23
579,sloanb got sad work uk amp us moment,,3
580,evict,,19
581,doesnt enjoy learn css,,3
582,nachojohnni brian dont make fuck u lol repli 2 ur messagedid u get miss u,,25
583,heidimontag dvrd went watch appar dish network went miss will catch rerun,,25
584,jessdubb lmao u may wait anoth season come thru summ boo hot nd dri ass weather,,12
585,lizchavez cant set feet ground miss eyelid peopl might get,,23
586,daniela95616 english professor asham,,8
587,o wish frog werent becom extinct,,13
588,came home cross counti tire,,25
589,dont want walk home snow want pick,,8
590,heidimontag lauren stubborn love love feel bad though made cri lol,,13
591,grouchi want bmar,,8
592,heart broken everi morn drop foo pre school now understand mom say quoth heart brokenquot,,1
593,feel well back hurt,,13
594,im mood chocol want miniatur rees cup now,,1
595,cant take heat like oven feel sick nwo,,13
596,nickcart come chat just 15 minut pleas,,24
597,boredd colddd internet keep stuf,,12
598,horribl nightmar last night affect sleep now im realli tire,,1
599,im lone keep compani 22 femal new york,,12
600,born4broadway lost st ignacius prepatori school haha,,23
601,birutagm yeah realli depress stuff like get,,23
602,whoisariston problem tongueincheek remark lot acronym nz,,12
603,greggrunberg hey said matt gonna go ballist disappoint good ep tho most,,13
604,ugh horribl end sandra kantu stori prayer go,,12
605,danielledeleasa hate 2 b allerg want puppi soo bad ive alreadi thought cool name,,8
606,morn folk 700 yawn amp away see hors hope twitter better behav today last night travesti,,12
607,quandotcom miss mine,,25
608,amandaenglund sorri hear loss mani year far,,8
609,nicolerichi gossip girl repeat,,25
610,inyoureyes2410 reckon,,20
611,find realli hard use twitter,,8
612,ive stuck hous two day,,12
613,realli sad doesnt realli know y,,1
614,thousandmil,,21
615,mayb one year ill get tax return girl can dream right,,23
616,back work tire hell feel cold come,,3
617,clariann knot2seri april 9th isnt come soon enough,,12
618,hannahsix cream eye may herp ocular herp differ strain hes okay though,,25
619,gotta repeat whole art folio cuz old one whole term work got wet,,3
620,im readi weekend alreadi monday,,25
621,lovebscott umm nopethink im insomniac plus got fluilll sleepin like phuckin fish outta water minut now,,1
622,finland sleep night realli enough time,,12
623,lunafiko cant wait tri em prolli wait next weekend earliest,,23
624,shiner take bed blanket,,12
625,clariann april 9th isnt come soon enough,,12
626,want cri,,8
627,need go bank tomorrow go broke,,3
628,earthquak itali sadden three hour away napl famili,,12
629,sleep stress week come,,12
630,dragon yea work tp hack server 12player thing folk,,3
631,hurt ankl go dr,,1
632,raymondroman oh noe manag send someth trash can empti without notic feel ya,,13
633,lost free copi radioact cant put ipod grrand cant go buy nother coz came paper,,23
634,make shit,,13
635,photoshop hate crash,,8
636,vacat make feel sick,,13
637,shouldnt gone,,12
638,listen murd 9th wonder just chillen miss crazi sex life,,24
639,louie094 shoot care luisa,,13
640,hillary006 im sure everyon ruin gift whitney serious cell easter well,,13
641,beso hollywood tire,,25
642,dont want wake earli tomorrow damn work,,8
643,just finish watch movi prayer bobbi broke heart,,24
644,syekr myki realli horribl,,8
645,stephenkruis 2 put dog today someon ran,,23
646,nevadawolf sorri hear dnf run tonight alway risk get bad coord ftf,,23
647,honey3223 get disgruntl peopl wrote esn 1000 hit one day made bill pull 250 top,,23
648,moony394 ohh omg lmao im cri right now lol kutnerrrr best,,1
649,came back run took showerwhi lower stomach still hurt exercis,,12
650,watch fallon mom work projectschool hard,,3
651,56 min till home time count crave visit mac store will close time get,,23
652,stephenkruis sorri hear take care,,8
653,paulcol hmmmgreed good motiv individu betternot much take away other,,13
654,gabbyisact brat rub dont want mocha,,8
655,kutnerrrr think 13 still show ugh kutnerk penn youv bright star ho,,12
656,redvinylgirl mom wish best luck,,13
657,hate homework head hurt bad,,8
658,got ebay blue item want jump bidder 100 hour still 3 hour go id better get hope,,23
659,gigdiari know littl depress ate much last night leftov today,,8
660,well pc live room suffer fatal partion lost itun librari gone doc pic,,13
661,sad day manu season,,1
662,stephenkruis poor spunkyit sadmi rotti made 10 go pathi know feel,,13
663,im sooo sad right now need hug,,1
664,want step brother home im worri dont even know hope know much care,,8
665,heidimontag just got done watch hill love excit next episod im sad last season,,24
666,ryanmwilson aww stink hug,,25
667,im tire feel like crap world feel crummi make happi usb disco mous,,13
668,dont want believ im readingbuuso sad,,8
669,wonder gamebattl,,12
670,white trash vs us outnumb,,13
671,emitstop true dont use,,8
672,spring break last one celebr,,12
673,morn bah car wont start wait anwb,,12
674,katebornstein pretti anti memori tattoo strictest there offici ban just disapprov famili,,24
675,balamurugan longterm member team leav month well miss work hope well next ventur,,25
676,justgelo sad know found bodi crazi world live child deserv ya know,,1
677,wanna rock maxi dress coachella lack fund,,25
678,cours babi scream crib night first day back work let cri boooo,,3
679,home miss babi busi week ahead fri chill day guy kid egg hunt sat spiral dmb sat night easter,,25
680,followsavvi never found everytim click twitter thing myspac goe dude page,,13
681,stephenkruis that horribl sorryto hear,,8
682,davidhenri cant find say dtmafiaoffici doesnt existther jus 1 dtmafia found n u dun seem b followin wht,,23
683,thought support,,8
684,augh eff sarth stole mil nail polish pretti o,,13
685,wish spring fling tour dawn amp neece sigh gknight,,13
686,hoyt distribut nz websit isnt work great like need,,3
687,crummyasshol dont like first movi cillian murphi hot,,8
688,wish good old cartoon come back ie captain planet where walli daria sad,,1
689,feel v good abt,,13
690,just got text sarah,,24
691,anoth day centr point time earli start guess train will ram commut,,12
692,four game fall modern warfar 2 halo 3 odst brutal legend bioshock 2 need cash,,3
693,dcastillo ugh that disconcert,,12
694,devinthedude007 actual whole site final taken damn russian,,8
695,tweet arent go,,25
696,just finish delici breakfast last pari ill miss milk europ tastiest milk world dont drink us,,24
697,ilearn great consid final week,,13
698,carmonium im stress outttt,,12
699,also shouldv bern asleep hour ago,,12
700,tri figur twitter thingnon friend yet soo much see,,25
701,reping kyle44 custom icon made look cool edg less squar might look bad diff background,,13
702,want back la,,8
703,enterbelladonna dunno use forum get frustrat ill miss talk,,25
704,lilbucknuts41 option,,3
705,georgeruiz unfortun one moment wasnt giant squid monster,,12
706,thestarrag want one branch midv open,,8
707,danann aw sorri hear,,8
708,chang plan order mac instead time hit book,,12
709,polhillian yup,,3
710,nkdreamer see donni tweet stat almost 700 repliesand jrk,,25
711,timgraing nah havent receiv stimulus yet,,12
712,ikimb0 just seen ur tweet plz write bak u get havnt got one repli bak,,24
713,mccainblogett awwwww tri go sleep 3 hour ago,,23
714,stephenkruis im sorri hear alway sad lose close us love,,1
715,cant sleep im still feelin like piec shit,,23
716,stephenkruis oh sympathi hard decis alway hope old border colli will go sleep shes 14 hug,,23
717,josephheustess well realli cool part wont spoil,,8
718,limbecki im time warp without sad,,1
719,theresawhit true lol still slap face warm end march,,12
720,hate convert movi just put em itouch,,24
721,gross pimpl,,22
722,torturedladi yea manaaaaaaaaaaaaaaaaaaaam marwan accent lol,,12
723,one less follow tonight,,12
724,unholyknight mom last night brb figur whether just burn,,24
725,feel like quottwittererquot tweetdeck,,13
726,wyldceltic1 karat tournament 8 week,,13
727,go sleep cant 1am againand didnt finish statist homework,,23
728,north carolina babi aint nothin stop nba draft,,12
729,cant sleep,,23
730,reaali miss john mayer twitter fuck rude peopl remov dont like tweet bitchfuck,,25
731,go late one mqu today,,12
732,im tire worki need life,,3
733,just leavin work feet hurt,,24
734,playradioplay sad unexpect total cri haha,,1
735,superneej morn bah car wont start wait anwb,,12
736,still homework,,12
737,littl sad,,1
738,deepbluesealov mom amp dad get around 6too earli,,23
739,shouldv asleep two hour ago,,12
740,stephenkruis sorri hear dog,,8
741,funni littl thing make homesick crimin breakn n2 brownston lawnord ci made misti,,13
742,djsoulsist yeah great vid 12quot singl sold year ago,,12
743,im val mac iitsc clubroom still sweat,,12
744,stephenkruis awww sad im sorri,,1
745,updatingff give noth good twenti minut,,13
746,hot compress rili workng pull muscl gng bed good night,,13
747,invit quothealthi diningquot session ashok hotel today exec chef rchopra damn workload will skip,,23
748,stephenkruis im sorri hear dog wish happier day come,,12
749,hellivina miss em,,25
750,misstoriblack cool tweet app razr 2,,25
751,im bed gotta wake hella earli tomorrow morn,,12
752,still procrastin hate organ cloth there just much,,24
753,just play new mobbler v040 add great new featur wont play music e71 like v035,,24
754,latroneb oh there one besti miss,,25
755,esuriospiritus time come back flawda doubl date serious im sorri hear,,12
756,im way late work client 1210 fb,,3
757,blegghhhh go work,,3
758,back work john muir dr,,3
759,dachesterfrench email yesterday u never respond,,12
760,go long year fan,,13
761,just got done watch new hous episodedefinit one saddest episod ever,,24
762,man tax suck im horrifi someth wrong turbotax decid keep around lot stuff turn,,12
763,sleep time tomorrow gonna suck,,12
764,wtf kutner oh im piss hous mean realli wtf,,8
765,amberpacif know dont know said,,8
766,cash rule everyth around,,12
767,just pick oat market eat breakfast boy adamgoldston now time work usc late night,,24
768,feel sick much icecream,,13
769,faithgg45 comput doesnt shockwaveblah account yet,,3
770,rubyrose1 awww wish go sydney,,13
771,luxuryprg hahaha surious feel like everyon know show joke except lc,,13
772,just cant spell today total suck,,24
773,vaccin chickenpoxshould vaccin 3 yr oldi confus damn thing,,13
774,school least last day,,12
775,yawwwn gotta get earli tomorrow whos readi weekend,,23
776,miss home calv seasonsad black one die morn wish bottl calv,,25
777,stephenkruis sorri loss brother dog sam sick wcush diseas,,8
778,back work get spend next 8 hour alon dispatch room,,3
779,there new kind starburst faver sound fab bc cherri strawberri fav red ad watermellon yucki,,12
780,well much product 2 day angel,,12
781,andreabak oh gee insomnia suck tri melatonin,,23
782,vivekg86 good hear support netbean netbean know,,13
783,heidimontag wish get time rest world unforn cairo wait mtva play,,23
784,heartbroken littl sandra prayer famili,,24
785,hadtobeyou im 900 word can ill finish tomorrow mayb,,12
786,shortiethug come ur background cover screen mine corner,,12
787,wrote exact three line dialogu tonight gave,,25
788,ashman01 complaint facebook theyv chang much confus,,24
789,slice finger,,12
790,go thru town traffic bypass stink,,25
791,ugh cant sleep wish good cuddl make ass,,23
792,hate softwar updat download updat without tell never know what download,,8
793,went ihop great diet least kung foo pancak time rachel,,12
794,internet hate night spose,,8
795,contactab im jealous miss open day year,,25
796,cruel wait review come far look like star trek will best film year,,13
797,debat just shower now can sleep littl later tomorrow,,24
798,stress alway culmin physic pain,,12
799,need sleep cant,,23
800,littl pinki finger hurt much,,24
801,sarahsaturday im sorri gift card ran suck,,8
802,home spring break one home tho,,12
803,access oneindiamobi googl phone android doesnt support indic languag,,3
804,school take life much dont get sleep anymor still school work well,,23
805,mtsiaklid aw wish cant realli speak yia yia doesnt speak english,,23
806,winggato free comp lol,,12
807,get readi clean hous top bottom,,23
808,cri friend move away tomorrow,,12
809,swiftkaratechop stop nomnom didnt share night peopl,,12
810,think get cold caught daddi oh trip ruin,,23
811,moony394 yeah bcoz kal penn visit lectur somewher n cant show anymor im gonna miss,,25
812,procrastin start earli quarter dont want reaaaaad write paper,,8
813,appar 52 degress 11pm washington state miss winter alreadi,,25
814,bore home,,25
815,massag great just spill coke desk lame watch simpson ive finish hill dvds,,24
816,nickcart will wait fanclub chat even tough your favorit,,12
817,mild left inner ear infect got irrit quotblockedquot feel sinc sunday,,13
818,janebodehous hey nope cute hoytfortenberri away awhil,,12
819,tuesday,,12
820,haha even yo just didnt know thang twitter haha,,24
821,someon alarm clock phone woke 3amstil got headach yesterday night,,12
822,kalichosich awww poor puppi ok,,25
823,might break eat buffalo wing tomorrow,,12
824,sittin wkayla realli realli reallli dislik brother doesnt know stop im wait day one,,12
825,fed bokki mani birthday treatssicko,,12
826,s kinda bum agenc just told didnt look go ladi pleas help creat look,,24
827,work laptop offici dead happi,,3
828,good freez,,13
829,heidimontag put listen mom,,24
830,stuck pari cant even travel franc work,,3
831,joannafbeckett dont think there one close last time check closest one 70 mile away,,8
832,aaaaand back literatur review least friend cup coffe keep compani,,12
833,worri wont get 900 even though paid buttload tax last year,,23
834,okay still school,,12
835,phoneless now sleep,,1
836,reek alcohol dentist morn drunk put tshirt realis huge stain dentist look disgust,,12
837,realli cold,,8
838,cant sleep want dream,,23
839,cant sleep hate night tri go bed earli stay awak hour poo,,23
840,rootbeersoup yeah bad peopl like certain burrito man exist,,13
841,cronotrigg that sad,,1
842,just found mum adopt aunti twitter check mum tessm64 awesom aunti tania38,,24
843,sleepwid awakeand gotta go work later boy go crappi day,,3
844,struggl eam law,,8
845,cant sleep like,,23
846,bout start 24 poor linni couldnt keep eye open tire work tomorrow morn night ilovefatsusan,,3
847,4 year old 18 year old drive around twisti dont want like,,8
848,well suck,,13
849,place 3 daysani help can get packingpaintingclean much appreci oh rip wall,,23
850,open partial frozen beer beer toaster oven counter kitchen smell like run speakeasi,,13
851,stewiebrittani dont even know ride,,8
852,monasmith sad yes think need council now,,1
853,make readi schooldont feel like go two test,,13
854,smug gone train also fail turn im head victoria follow unpleas tube ride citi,,12
855,anybodi know ipod went,,8
856,aww earthquak itali made sad just saw pic news terribl,,24
857,lilibat never abl afford get id much rather go extract continu deal now,,23
858,pet care peopl tri run other busi send suspici email fish info,,13
859,kameelahwrit lt33 codeztheyv mia tho,,13
860,reannaremick doesnt work cell go sleep p,,3
861,go nice tomorrow rain come back nice weather birthday,,12
862,taliasunset rock band hardon expert,,25
863,beachbassbon roomi home day scratch door comfort goto larg laundromat machin,,12
864,one hardest thing schedul one can chat end day usual,,12
865,kill charact one favorit show now im upset,,1
866,jealous friend got see new star trek film austin tonight,,25
867,listen q got realli bad headach drivin lesson ten min lucki just wana sleeep,,24
868,stevebuscemi shut youi hungri britain home bore suckassi breakfast world miss denni,,25
869,good morn everybodi pkoi y fai pas beau bon coffe time,,12
870,work,,3
871,essay time,,12
872,chauncey78 hey u talk mom r home yet hope r ok wish come home 4 easter,,12
873,endearingevania sure wish go guy tmrw per usual school interfer,,13
874,widyatarina say kal penn leav hous noooooo awww total miss tonight,,25
875,lost loyal,,23
876,play anoth hand bad lost half stack,,13
877,620pm earli day looooooong night work,,3
878,yaykimo sad last season wanna see spencer call lauren,,1
879,im done edit quotth phipstapequot back 2 crack brew see got tree though,,12
880,rj dont know half mean,,8
881,homework homework homework,,8
882,work heart today doubl weight station result stiff pull muscl ouch,,3
883,melamachinko now feel bad unfollow,,13
884,tire god hate new job two day,,12
885,sad kutner kill fav show hous,,1
886,happi coach stringer hof co 2009now can finish term paper,,13
887,feel like shit way want spend birthday eve,,13
888,far 311 site put togeth check updat made,,8
889,lot mind need make money idea nowher hire,,3
890,emiliexclarkex miss,,25
891,stephenkruis im sorri hear dog,,8
892,much internet plagu,,24
893,miss ex soo much,,25
894,sod m25,,13
895,oh thought pirat bay trial verdict today s appar 10 day,,12
896,featherinair call back,,12
897,studi hall now will log immedi,,1
898,tire im cri reason im tri get hour half tonight half got last night,,23
899,total like four girl option none seem viabl,,13
900,far 311 veiw site put togeth check updat made,,8
901,listen bjork full love cri,,25
902,omg hill love money2 aww think becki buckwild goe,,8
903,crave tantan nabe,,23
904,cmon sean man,,12
905,watch quota leagu ownquotmak miss mint chocol ice cream cone grand ma fuck,,25
906,lost phone wheremayb grass just long hope doesnt rain,,24
907,tomatosalsa hope arent refer say hello new stalker lol,,12
908,brettyboo u sleep ur gonna night now ur bike ride,,1
909,slessard wanna listen master,,25
910,sephystryx ive look good stuff write also load uni work,,3
911,feel unlov drop 2 tweeter,,13
912,london day thursday gonna rain oh fab wont see much london eye still robbi wont care bless,,12
913,complet wipe reload 8900 lost bbm contact go bed sad,,1
914,mykel sayyyi whaaaa wasnt invit,,12
915,didnt sleep bad consid workshop start today begin sore throat though,,23
916,astewart87 oh gosh made emot haha idk dont want get old,,8
917,go post stori manual due twitterfe problem that weve quiet late,,12
918,dont like lukewarm shower,,8
919,linuxfound contact need 1099 freelanc work linuxcom throughout 2008 never got one,,3
920,skylineking722 connor febi realli realli mad,,8
921,need help want buy macbook pro still inlov old powerbook,,8
922,michaeltao man america borez anyway lol just realiz sent msgs idea flash,,24
923,hellivina ihop gknight love ladi im sleepi now,,1
924,anybodi know get electrolyt back order vitamin work feel sick,,3
925,sudam08 yes someon hasnt read post proper,,12
926,almost italian homework weeeeee now understood,,1
927,turn light will time get ip,,23
928,therealnph twitter hate us,,8
929,hate fact im genuin excit last tweet,,8
930,celesteclara cant sleep either,,23
931,theblondetheori itali earthquak sad news day,,1
932,champagnemanoir rain today garden realli need quit bad,,3
933,yawn yawn yawn 10 minut bed,,12
934,majesticflam ouch sound sucki,,12
935,bengottlieb great idea itun promo code dont work uk itun store though,,3
936,mattycus cri,,12
937,rumlov empti rum barrel sad rum barrel shake head horror horror,,1
938,sleepless night,,12
939,billybush admit fake,,8
940,batmannn love chutney,,25
941,got high bore today scan 24 page daddi,,23
942,misterphipp cook risotto without,,1
943,keeeerrrrriiiiii realli noth better post thing 224amwonderfulll say alot,,13
944,yay basebal season boo yanke lose first game,,1
945,lost suck work today,,3
946,omg exam kill know differ haif circl hemispher lt3 gt,,8
947,bed sudden feel wish ma wme goodnight twitterfam,,13
948,rachelcmrn dont like goodnight,,8
949,greaaat lappi wont turn wtffffff,,12
950,m4rkm stuck traffic journey traffic free morn help,,12
951,lookin like allnight hate,,13
952,vernonhamilton your stranger,,25
953,debbug old vb6 code day start better,,12
954,toddlington quarter percent babe darn,,1
955,come cold bad allergi either way im miser,,12
956,cant believ cutner dead hous sad day santa rosa ca,,1
957,damnit realli dig season reaper,,8
958,gah comcast doubl cableinternet bill wout tell us quit can anyon suggest afford compani bay area,,23
959,anoth earli morn duchess although hadnt manag cross leg time,,12
960,alexbigman left without say hi,,1
961,l want cant sleep,,23
962,tracydowd xbox show three red light mean dead need fix month microsoft hq,,3
963,king size bed nice sad lone hubbi puppi kitti whole confer thing,,1
964,im boredd gah wish just sleep get ive toooo muchh cooooffffeeeeeeee bahaha,,24
965,whyinthehel may butt im done nosey sorri convers just interest,,24
966,smokeyrobinson fell listdid offend,,24
967,18 week till sister home miss call worst feel world,,25
968,gonna tri get sleep hotel room,,23
969,chimpytwit brilliant idea just bring much think youll spend amp ill swap bring brolli,,24
970,simonekali get autograph shout record though comput dead cant listen,,23
971,rt kimkardashian khloe just got fire apprentic,,24
972,biolog class lip hurt,,1
973,sorri next tweet,,8
974,grr go school today,,23
975,jennlopez get hd tivo just got set tonight order get channel 40 59,,24
976,mouthsex ask everyon yesterday singl tweet back,,12
977,adam ruddi money like still wait oh surpris state hmmm serious,,13
978,kalpenn sad kutner favorit new team,,1
979,marcusmim wow didnt get quothelloquot u suck,,23
980,bedtim school tomorrow still book broke suckssss,,12
981,seat help babi paperswel forc seat im sleepi,,8
982,synch contact old mobil iphon import work well,,3
983,cant concentr,,23
984,ive just spent 1 hour enter bureaucrat nonsens march wast time,,24
985,nw confus ever,,8
986,feel well stupid migrain make tummi upset whole bodi ach shoot now,,13
987,read buyolog bedtim great premis turn quotokquot book lot info alreadi knew,,12
988,home realli wana sleep due wast free line town assign finish,,23
989,hellobeb also send updat plurk upload photo twitter didnt see updat plurk zero,,25
990,omg quotth readerquot make,,13
991,cloudpimp doh least your get decent exchang rate moment sterl still get flog,,23
992,tri download tweetdeck wont download,,23
993,there inch snow ground count im worri poor flower,,25
994,dweeman arent happi camper,,25
995,dkoenig thank man im grate feel unworthi attent though im,,13
996,twolf miss u im total comin back tho lastnight sooooooo much fun,,25
997,sniffinglu ohhh love ps im sad didnt get hang,,23
998,somehow still end place,,12
999,kisluvki oh sad poor boy,,1
1000,jonathanrknight silvertulip27 um hell fug poker dog pant cruis hi jonathan sorri miss,,25
